KY_CD,OFNS_DESC
105,ROBBERY
101,MURDER & NON-NEGL. MANSLAUGHTER
578,HARRASSMENT 2
341,PETIT LARCENY
361,OFF. AGNST PUB ORD SENSBLTY &
109,GRAND LARCENY
112,THEFT-FRAUD
121,CRIMINAL MISCHIEF & RELATED OF
110,GRAND LARCENY OF MOTOR VEHICLE
351,CRIMINAL MISCHIEF & RELATED OF
118,DANGEROUS WEAPONS
233,SEX CRIMES
340,FRAUDS
107,BURGLARY
344,ASSAULT 3 & RELATED OFFENSES
116,SEX CRIMES
125,NYS LAWS-UNCLASSIFIED FELONY
106,FELONY ASSAULT
359,OFFENSES AGAINST PUBLIC ADMINI
126,MISCELLANEOUS PENAL LAW
347,INTOXICATED & IMPAIRED DRIVING
117,DANGEROUS DRUGS
353,UNAUTHORIZED USE OF A VEHICLE
348,VEHICLE AND TRAFFIC LAWS
352,CRIMINAL TRESPASS
104,RAPE
113,FORGERY
364,OTHER STATE LAWS (NON PENAL LA
358,OFFENSES INVOLVING FRAUD
111,POSSESSION OF STOLEN PROPERTY
343,OTHER OFFENSES RELATED TO THEF
238,FRAUDULENT ACCOSTING
236,DANGEROUS WEAPONS
355,OFFENSES AGAINST THE PERSON
342,PETIT LARCENY OF MOTOR VEHICLE
114,ARSON
115,PROSTITUTION & RELATED OFFENSES
235,DANGEROUS DRUGS
232,POSSESSION OF STOLEN PROPERTY
678,MISCELLANEOUS PENAL LAW
124,KIDNAPPING & RELATED OFFENSES
365,ADMINISTRATIVE CODE
343,THEFT OF SERVICES
364,AGRICULTURE & MRKTS LAW-UNCLASSIFIED
126,(null)
677,OTHER STATE LAWS
250,CANNABIS RELATED OFFENSES
230,JOSTLING
363,OFFENSES AGAINST PUBLIC SAFETY
119,INTOXICATED/IMPAIRED DRIVING
675,ADMINISTRATIVE CODE
350,GAMBLING
354,ANTICIPATORY OFFENSES
345,OFFENSES RELATED TO CHILDREN
346,ALCOHOLIC BEVERAGE CONTROL LAW
120,CHILD ABANDONMENT/NON SUPPORT
231,BURGLAR'S TOOLS
125,OTHER STATE LAWS (NON PENAL LA
116,FELONY SEX CRIMES
103,"HOMICIDE-NEGLIGENT,UNCLASSIFIE"
572,DISORDERLY CONDUCT
455,UNLAWFUL POSS. WEAP. ON SCHOOL
120,ENDAN WELFARE INCOMP
677,NYS LAWS-UNCLASSIFIED VIOLATION
345,ENDAN WELFARE INCOMP
676,NEW YORK CITY HEALTH CODE
356,PROSTITUTION & RELATED OFFENSES
234,PROSTITUTION & RELATED OFFENSES
124,KIDNAPPING
237,ESCAPE 3
881,OTHER TRAFFIC INFRACTION
349,DISRUPTION OF A RELIGIOUS SERV
361,(null)
122,GAMBLING
675,(null)
